Name;Adresse;PLz &Ort;Koordinaten N/E
Energie 360Â°-Ladestation;Industriestrasse 12; 6300 Zug;47.1716838 8.5185621
SOCAR St. Katharina SÃ¼d; Raststätte St. Katharina Nord Süd; 6034 Inwil;47.1187306 8.3748446
GOFAST Ladestation;Grenzstrasse 1A; 6214 Schenkon;47.1845093 8.1118275
SOCAR Charge-Ladestation;Rastplatz Knutwil-Nord; 6213 Knutwil;47.1977356 8.0646032
AGROLA-Ladestation;Bleicheweg 6; 4800 Zofingen;47.2957006 7.9323703
Migrol-Ladestation;Zeughausstrasse 38; 6210 Sursee;47.173607 8.100315
MOVE Ladestation;23 Rastplatz Inseli Autobahn A2; 6205 Eich;47.156118 8.156637
IONITY Ladestation;A2; 6023 Neuenkirch;47.113389 8.2322616
MOVE Ladestation;Luzerner Raststätte A2 West; 6023 Rothenburg;47.1106748 8.2339471
GOFAST Ladestation;Raststätte Gunzgen Nord; 4617 Gunzgen;47.3101752 7.8318983
E-Schnellladestationen;Raststätte Gunzgen Süd; 4616 Gunzgen;47.3103322 7.8463076
Shell Recharge-Ladestation;Gotthelfstrasse 1; 3427 Utzenstorf;47.1272365 7.5586671
GOFAST Ladestation;Kernenriedstrasse 1; 3421 Lyssach;47.070171 7.5664589
AGROLA-Ladestation;Schachenstrasse 39; 3421 Lyssach;47.0727581 7.5905564
SOCAR Charge-Ladestation;A1 Rastplatz Chölfeld; 3427 Utzenstorf;47.1151294 7.578213
GOFAST Ladestation;Autobahnraststätte Süd; 5742 Kölliken;47.3231619 8.0211765
SOCAR Charge-Ladestation;A1; 5742 Kölliken;47.3302853 8.0298908
Fastned-Ladestation;Rastplatz Suhr A1; 5034 Suhr;47.3804721 8.1090211
Fastned Ladestation;Rastplatz Lenzburg; 5600 Lenzburg;47.392556 8.160158
GOFAST Ladestation;Raststätte Würenlos, A3, Richtung Bern; 5436 Würenlos;47.4390502 8.3483464
GOFAST-Ladestation;Raststätte Würenlos, A3, Richtung Zürich; 5436 Würenlos;47.4381332 8.3466036
GOFAST Ladestation;Wigartestrasse 4; 8957 Spreitenbach;47.418371 8.373701
GOFAST-Ladestation;Silbernstrasse 12; 8953 Dietikon;47.4173193 8.3948433
GOFAST Ladestation;Moosstrasse 7; 8907 Wettswil am Albis;47.3343702 8.4601482
GOFAST-Ladestation;Zugerstrasse 66; 6403 Küssnacht;47.1070183 8.4494081
GOFAST Ladestation;Ringstrasse; 6330 Cham;47.1859539 8.4585299
Migrol-Ladestation;Hinterbergstrasse 39; 6312 Steinhausen;47.190966 8.4768959
IONITY-Ladestation;Tellstrasse; 6038 Gisikon;47.125079 8.397379
Shell Recharge-Ladestation;Gotthelfstrasse 1; 3427 Utzenstorf;47.127182, 7.558684
Shell Recharge-Ladestation;Schmiedenrain 1; 3400 Burgdorf;47.054809, 7.624709
MOVE Ladestation;Industrie Neuhof 1a; 3422 Kirchberg;47.092986, 7.572230
SOCAR Charge-Ladestation;Rastplatz Knutwil-Nord; 6213 Knutwil;47.197774, 8.064567
